Component,Description,Quantity,Link,Est. Price,Purpose
Raspberry Pi Zero 2 WH,"1GHz quad-core ARM CPU with WiFi, BT, and header pins",1,https://www.aliexpress.com/item/1005007982832720.html,$22.87,"Main controller/computer for the project"
2-inch IPS LCD Display,"240x320 ST7789, Waveshare compatible",1,https://www.amazon.com/LCD-2inch-Module-Compatible-Display/dp/B0DRS9YQCK,$14.40,"Scramble/time/statistics display"
6-Digit 7-Segment Display,"TM1637-compatible LED display module",1,https://www.aliexpress.com/item/1005001582129952.html,$0.99,"Real-time/final time display"
TTP223 Touch Sensor,"Capacitive touch sensor",2,https://www.aliexpress.com/item/1005006153014582.html,$0.99,"Start/stop timer input"
SanDisk Extreme microSD,"64GB, Class A2, 190MB/s",1,https://www.amazon.com/SanDisk-Extreme-microSDXC-Memory-Adapter/dp/B09X7C7LL1,$11.27,"OS and storage"
RGB LED (Common Cathode),"5mm tri-color diffused",1,https://www.aliexpress.com/item/1005004963591071.html,"$3.18 (100x)","Status indicator (colour coding)"
Resistors,"220Î© for RGB LED (x3)",3,https://www.aliexpress.com/item/1005008494728485.html,"$5.58 (600x)","Current limiting for RGB LED"
Jumper Wires,"Female-to-Female, Male-to-Female, Male-to-Male",1 pack,https://www.aliexpress.com/item/1005003641187997.html,$0.99,"Connecting components"
Large Breadboard,"630 holes",1,https://www.aliexpress.com/item/1005007085965483.html,$1.54,"Housing the electronics"
Protoboard,"630 holes",1,https://www.aliexpress.com/item/1005007204514719.html,$2.06,"To solder the electronics on"
USB Cable,"Data, USB 2.0, 1m",1,https://www.aliexpress.com/item/1005007504624576.html,$0.99,"For data transfer and Pi first-boot configuration"
Foam Tape,"Double Sided Adhesive Foam Tape - 1.5cm, 5m",1,https://www.aliexpress.com/item/1005006891100106.html,$0.99,"Temporary mounting and fixing electronics"
Li-ion Battery,"18650 3.7V 3500mAh",1,https://www.aliexpress.com/item/1005008078553867.html,$4.98,"Powering the electronics"
Battery Charger & Booster,"Charging Circuit Board Step Up Boost Power Supply Module; 2xUSB-A output",1,https://www.aliexpress.com/item/1005007457573822.html,$0.59,"Charging and power boost for battery"
18650 Holder,"Holder with cable",1,https://www.aliexpress.com/item/1005006089547043.html,$0.99,"Holder for 18650 battery"
